x,y,dist,x_real,y_real,z_real,dist_real,orient,direct,SrcNum,DetNum
10.000,-50.000,60.000,3.042,-43.507,10.000,173.279,hori,straight,S04,D09
20.000,-25.000,94.340,-4.694,-33.899,35.991,170.495,hori,antidiag,S04,D13
20.000,-50.000,80.000,1.537,-31.771,10.000,175.535,hori,straight,S04,D10
30.000,-25.000,111.803,-9.328,-20.532,35.433,171.253,hori,antidiag,S04,D14
30.000,-50.000,100.000,-1.159,-19.168,10.000,179.436,hori,straight,S04,D11
20.000,-12.500,25.000,76.847,-52.744,49.920,26.965,vert,straight,S07,D08
30.000,0.000,20.000,74.115,-41.148,62.349,25.536,hori,straight,S07,D12
30.000,-25.000,53.852,80.269,-41.915,36.212,59.883,vert,diagonal,S07,D09
40.000,0.000,40.000,72.533,-32.308,62.203,42.848,hori,straight,S07,D13
40.000,-25.000,64.031,78.764,-30.180,36.212,71.788,vert,diagonal,S07,D10
50.000,0.000,60.000,67.898,-18.941,61.644,70.036,hori,straight,S07,D14
50.000,-25.000,78.102,76.068,-17.577,36.212,89.685,hori,diagonal,S07,D11
20.000,-37.500,25.000,82.178,-54.290,23.708,27.888,vert,straight,S06,D08
30.000,-25.000,20.000,83.385,-42.925,37.374,17.967,hori,straight,S08,D08
40.000,-25.000,40.000,81.701,-27.619,37.352,48.295,hori,straight,S09,D08
50.000,-25.000,60.000,79.412,-18.928,37.295,65.851,hori,straight,S10,D08
30.000,-25.000,53.852,79.446,-42.694,36.138,59.741,vert,antidiag,S06,D12
30.000,-50.000,20.000,85.600,-43.461,10.000,27.388,hori,straight,S06,D09
40.000,-25.000,64.031,77.864,-33.854,35.991,69.992,vert,antidiag,S06,D13
40.000,-50.000,40.000,84.095,-31.726,10.000,50.269,hori,straight,S06,D10
50.000,-25.000,78.102,73.229,-20.487,35.433,90.631,hori,antidiag,S06,D14
50.000,-50.000,60.000,81.399,-19.123,10.000,75.417,hori,straight,S06,D11
40.000,-12.500,25.000,80.653,-31.329,49.803,26.967,vert,straight,S08,D12
50.000,-12.500,32.016,78.970,-16.023,49.781,35.810,vert,diagonal,S09,D12
60.000,-12.500,47.170,76.680,-7.331,49.724,49.352,hori,diagonal,S10,D12
40.000,-37.500,25.000,86.807,-32.096,23.666,27.861,vert,straight,S08,D09
50.000,-12.500,32.016,79.071,-22.489,49.657,35.843,vert,antidiag,S08,D13
50.000,-37.500,32.016,85.302,-20.361,23.666,38.738,vert,diagonal,S08,D10
60.000,-12.500,47.170,74.436,-9.122,49.098,59.078,hori,antidiag,S08,D14
60.000,-37.500,47.170,82.606,-7.758,23.666,59.511,hori,diagonal,S08,D11
50.000,-37.500,32.016,85.123,-16.790,23.644,38.776,vert,antidiag,S09,D09
60.000,-37.500,47.170,82.834,-8.099,23.587,53.019,hori,antidiag,S10,D09
60.000,-12.500,25.000,77.387,-7.183,49.634,27.132,vert,straight,S09,D13
70.000,-12.500,32.016,75.098,1.509,49.578,35.294,vert,diagonal,S10,D13
60.000,-37.500,25.000,83.618,-5.055,23.644,27.763,vert,straight,S09,D10
70.000,-12.500,32.016,72.753,6.184,49.076,35.248,vert,antidiag,S09,D14
70.000,-37.500,32.016,80.922,7.548,23.644,35.102,vert,diagonal,S09,D11
70.000,-37.500,32.016,81.329,3.637,23.587,35.138,vert,antidiag,S10,D10
80.000,-12.500,25.000,70.463,14.875,49.020,27.155,vert,straight,S10,D14
80.000,-37.500,25.000,78.633,16.239,23.587,27.756,vert,straight,S10,D11
-90.000,0.000,0.000,-56.013,31.640,60.403,0.000,n/a,n/a,A01,A01
90.000,0.000,0.000,55.908,31.946,60.352,0.000,n/a,n/a,A02,A02
