x,y,dist,orient,direct,SrcNum,DetNum,OptGrp
-134.350288425444,35.3553390593274,44.7213595499958,hori,diagonal,S02,D05,none
-134.350288425444,21.2132034355964,60,vert,diagonal,S02,D06,none
-120.208152801713,49.4974746830583,72.1110255092798,hori,antidiag,S02,D07,none
-120.208152801713,35.3553390593274,72.1110255092798,hori,diagonal,S02,D08,none
-120.208152801713,21.2132034355964,82.4621125123532,hori,diagonal,S02,D09,none
-106.066017177982,49.4974746830583,100,hori,antidiag,S02,D10,none
-106.066017177982,35.3553390593274,100,hori,diagonal,S02,D11,none
-106.066017177982,21.2132034355964,107.70329614269,hori,diagonal,S02,D12,none
-106.066017177982,7.07106781186548,121.655250605964,hori,diagonal,S02,D13,none
-91.9238815542512,35.3553390593274,128.062484748657,hori,diagonal,S02,D14,none
-91.9238815542512,21.2132034355964,134.164078649987,hori,diagonal,S02,D15,none
-91.9238815542512,7.07106781186548,145.60219778561,hori,diagonal,S02,D16,none
-77.7817459305202,35.3553390593274,156.204993518133,hori,diagonal,S02,D17,none
-77.7817459305202,21.2132034355964,161.245154965971,hori,diagonal,S02,D18,none
-77.7817459305202,7.07106781186548,170.880074906351,hori,diagonal,S02,D19,none
-63.6396103067893,35.3553390593274,184.390889145858,hori,diagonal,S02,D20,none
-63.6396103067893,21.2132034355964,188.679622641132,hori,diagonal,S02,D21,none
-63.6396103067893,7.07106781186548,196.977156035922,hori,diagonal,S02,D22,none
-49.4974746830583,49.4974746830583,212.602916254693,hori,antidiag,S02,D23,none
-49.4974746830583,35.3553390593274,212.602916254693,hori,diagonal,S02,D24,none
-49.4974746830583,21.2132034355964,216.333076527839,hori,diagonal,S02,D25,none
-35.3553390593274,49.4974746830583,240.831891575846,hori,antidiag,S02,D26,none
-35.3553390593274,35.3553390593274,240.831891575846,hori,diagonal,S02,D27,none
-35.3553390593274,21.2132034355964,244.131112314674,hori,diagonal,S02,D28,none
-148.492424049175,35.3553390593274,44.7213595499958,vert,antidiag,S03,D01,none
-148.492424049175,21.2132034355964,20,vert,antidiag,S03,D02,none
-148.492424049175,7.07106781186548,20,vert,diagonal,S03,D03,none
-134.350288425444,35.3553390593274,60,vert,antidiag,S03,D04,none
-134.350288425444,21.2132034355964,44.7213595499958,hori,antidiag,S03,D05,none
-134.350288425444,7.07106781186548,44.7213595499958,hori,diagonal,S03,D06,none
-120.208152801713,35.3553390593274,82.4621125123532,hori,antidiag,S03,D07,none
-120.208152801713,21.2132034355964,72.1110255092798,hori,antidiag,S03,D08,none
-120.208152801713,7.07106781186548,72.1110255092798,hori,diagonal,S03,D09,none
-106.066017177982,35.3553390593274,107.70329614269,hori,antidiag,S03,D10,none
-106.066017177982,21.2132034355964,100,hori,antidiag,S03,D11,none
-106.066017177982,7.07106781186548,100,hori,diagonal,S03,D12,none
-106.066017177982,-7.07106781186548,107.70329614269,hori,diagonal,S03,D13,none
-91.9238815542512,21.2132034355964,128.062484748657,hori,antidiag,S03,D14,none
