x,y,dist,orient,direct,SrcNum,DetNum
-19.092,-19.092,18.000,vert,antidiag,S04,D04
-19.092,-31.820,18.000,vert,diagonal,S08,D04
-19.092,-44.548,40.249,vert,diagonal,S12,D04
-19.092,-57.276,64.900,vert,diagonal,S15,D04
-6.364,-6.364,54.000,vert,antidiag,S02,D04
-6.364,-19.092,40.249,hori,antidiag,S05,D04
-6.364,-31.820,40.249,hori,diagonal,S09,D04
-6.364,-44.548,54.000,vert,diagonal,S13,D04
-6.364,-57.276,74.216,vert,diagonal,S16,D04
6.364,-19.092,64.900,hori,antidiag,S06,D04
6.364,-31.820,64.900,hori,diagonal,S10,D04
6.364,-44.548,74.216,hori,diagonal,S14,D04
-19.092,-19.092,64.900,vert,antidiag,S01,D07
-19.092,-31.820,40.249,vert,antidiag,S04,D07
-19.092,-44.548,18.000,vert,antidiag,S08,D07
-19.092,-57.276,18.000,vert,diagonal,S12,D07
-19.092,-70.004,40.249,vert,diagonal,S15,D07
-6.364,-19.092,74.216,vert,antidiag,S02,D07
-6.364,-31.820,54.000,vert,antidiag,S05,D07
-6.364,-44.548,40.249,hori,antidiag,S09,D07
-6.364,-57.276,40.249,hori,diagonal,S13,D07
-6.364,-70.004,54.000,vert,diagonal,S16,D07
6.364,-31.820,74.216,hori,antidiag,S06,D07
6.364,-44.548,64.900,hori,antidiag,S10,D07
6.364,-57.276,64.900,hori,diagonal,S14,D07
-19.092,-31.820,90.000,vert,antidiag,S01,D10
-19.092,-44.548,64.900,vert,antidiag,S04,D10
-19.092,-57.276,40.249,vert,antidiag,S08,D10
-19.092,-70.004,18.000,vert,antidiag,S12,D10
-19.092,-82.731,18.000,vert,diagonal,S15,D10
-6.364,-31.820,96.933,vert,antidiag,S02,D10
-6.364,-44.548,74.216,vert,antidiag,S05,D10
-6.364,-57.276,54.000,vert,antidiag,S09,D10
-6.364,-70.004,40.249,hori,antidiag,S13,D10
-6.364,-82.731,40.249,hori,diagonal,S16,D10
6.364,-44.548,90.000,vert,antidiag,S06,D10
6.364,-57.276,74.216,hori,antidiag,S10,D10
6.364,-70.004,64.900,hori,antidiag,S14,D10
-19.092,-44.548,115.256,vert,antidiag,S01,D13
-19.092,-57.276,90.000,vert,antidiag,S04,D13
-19.092,-70.004,64.900,vert,antidiag,S08,D13
-19.092,-82.731,40.249,vert,antidiag,S12,D13
-19.092,-95.459,18.000,vert,antidiag,S15,D13
-6.364,-44.548,120.748,vert,antidiag,S02,D13
-6.364,-57.276,96.933,vert,antidiag,S05,D13
-6.364,-70.004,74.216,vert,antidiag,S09,D13
-6.364,-82.731,54.000,vert,antidiag,S13,D13
-6.364,-95.459,40.249,hori,antidiag,S16,D13
6.364,-57.276,109.490,vert,antidiag,S06,D13
6.364,-70.004,90.000,vert,antidiag,S10,D13
6.364,-82.731,74.216,hori,antidiag,S14,D13
